Issue_ID,Date,Issue_Type,Severity,Description,Assigned_To,Target_Date,Status,Resolution_Notes,Actual_Completion,Verified_By
ACT-2026-001,2026-01-05,Academic Error,High,Incorrect formula on slide 15 of MATH201 lecture,Dr. Jones,2026-01-06,Resolved,Formula corrected and students notified via email,2026-01-06,QC Lead
ACT-2026-002,2026-01-06,Delivery Issue,Medium,Low engagement in afternoon MATH102 sessions,Dr. Davis,2026-01-13,Resolved,Added interactive polling and group activities,2026-01-12,QC Lead
ACT-2026-003,2026-01-07,Assessment Error,High,Answer key error in Quiz 2 - Question 5,Prof. Wilson,2026-01-08,Resolved,Answer key corrected; affected scripts re-graded,2026-01-08,QC Lead
ACT-2026-004,2026-01-08,Process Issue,Low,Missing sign-in sheet for MATH401 seminar,Prof. Taylor,2026-01-15,Resolved,Implemented digital attendance system,2026-01-10,QC Lead
ACT-2026-005,2026-01-09,Compliance Issue,High,Session not rehearsed - MATH301,Dr. Brown,2026-01-10,In Progress,Instructor reminded; monitoring next session,,
ACT-2026-006,2026-01-10,Research Issue,Medium,Low originality score (65%) in student project RES-2026-003,Prof. Taylor,2026-01-20,Open,,,
ACT-2026-007,2026-01-11,Academic Error,Medium,Outdated reference in MATH201 course material,Dr. Jones,2026-01-18,Open,,,
ACT-2026-008,2026-01-12,Delivery Issue,Low,Board work visibility issues in Room 204,Dr. Williams,2026-01-19,Open,,,
ACT-2026-009,2026-01-13,Assessment Error,High,Marking inconsistency detected in MATH102 mid-term,Dr. Davis,2026-01-16,In Progress,Re-sampling scripts for verification,,
ACT-2026-010,2026-01-14,Academic Error,Critical,Incorrect theorem statement in MATH301 - affects exam,Dr. Brown,2026-01-15,In Progress,Correction being prepared,,
